Unnamed: 0,price,price_per_m2,residential_complex,floor_current,floor_total,hc_class,description,views,min_metro,online_booking,height,total_area,living_area,rooms,available,ready,is_city,popular_developer,elevators,court,entrance,parking,parks,answer
0,13863553,296483,ЖК «Кронфорт.Центральный»,3,4,Комфорт,"Стоимость квартиры указана со скидкой 20%. Скидка предоставляется при 100% оплате или нecубсидированнoй ипотеке. Возможно повышение скидки до 23%, подробности уточняйте у менеджера по телефону. 

Прeдлaгaeтcя кваpтиpa площaдью 46.76 кв.м в корпусе 2 жилого комплекса ""Кpoнфорт. Центрaльный"" в Caнкт-Пeтербуpгe (Kpoнштадт). Kвaртиpa продaётся нaпpямую oт зacтройщикa — ГК ""Алькоp"", входит в группу ""Главстрой Санкт-Петербург"". Возможна покупка с использованием льготных и специальных ипотечных программ с государственной поддержкой.  

 ""Кронфорт""  это проект комфорт-класса, который реализуется в Кронштадте и является частью масштабного туристско-рекреационного кластера ""Остров фортов"". Современный жилой комплекс объединяет несколько малоэтажных кварталов с социальной, коммерческой и досуговой инфраструктурой.  

Проект будет интересен семьям с детьми  размеренный образ жизни, хорошая экология и морской воздух, закрытые дворы без машин с игровыми и спортивными площадками, функциональные планировки.  

Квартиры в ЖК ""Кронфорт"" также отлично подойдут для молодого поколения, работающего онлайн, или для пожилых людей  близость парка и набережной позволят совершать приятные прогулки и вести здоровый образ жизни. Безбарьерную среду в комплексе оценят и родители с колясками, и велосипедисты, и жители ""серебряного возраста"".  

Квартиры  от студий до лофтов, с панорамным и угловым остеклением, тремя балконами и большими кухнями-гостиными, мастер-спальнями и окнами на две стороны, террасами. Метраж варьируется от 24 до 106 кв. м. Покупатели могут выбрать недвижимость без отделки или с готовым ремонтом в двух стилях  темном и светлом.  

Транспортная доступность: 

Жилой квартал ""Кронфорт. Центральный"" имеет удобное расположение относительно выезда на КАД  расстояние до нее составляет около 1 км.  
 - 2 минуты пешком до автобусной остановки ""Лицей""  
 - 30 минут на автомобиле до ""Лахта-центра""  
 - 50 минут на автомобиле до аэропорта ""Пулково""  
 - 60 минут на автомобиле до ""Московского вокзала""  

В период навигации можно прокатиться до ""Эрмитажа"", Адмиралтейства и Сенатской площади на скоростных катамаранах. 

Инфраструктура: 

Напротив ЖК ""Кронфорт. Центральный"" открыт инженерный лицей. Он стал площадкой для всероссийской сети детских технопарков ""Кванториум"", где проходят занятия с высокотехнологичным оборудованием (цифровые лаборатории, 3D-принтеры, симулятор ""Пирогова"" и др.) для изучения передовых технологий. Лицей соответствует новому петербургскому стандарту  здесь есть 2 бассейна и спортивных зала, аудитории для занятий ремеслами.   

Также в ""Кронфорт. Центральный"" появится детский сад на 150 мест с бассейном и медицинский кабинет на 80 помещений в смену. 

Преимущества ЖК ""Кронфорт"":  

 
 - Малоэтажный жилой комплекс с авторской архитектурой, разработанной с участием компании Chapman Taylor и петербургского бюро ""Проектная культура"", 
 - Подземный паркинг и кладовые для удобства жильцов,  
 - Более 100 видов планировочных решений,  
 - Высота потолко",5683.0,,False,3.04,46.76,21.2,2.0,False,True,False,False,,True,True,False,True,3
1,30021976,529955,ЖК «Шепилевский (Shepilevskiy)»,10,24,Бизнес,"2-ком. квартира 40 на 10 этаже в секции 1 Дома SHEPILEVSKIY (Шепилевский) 
  
О проекте: 

Торжественный и величавый, Клубный дом SHEPILEVSKIY (Шепилевский) включает 184 квартиры клубного формата. Дом гармонично вписан в существующий архитектурный контекст Алтайской улицы Московском районе. Из окон большей части лотов открывается захватывающий вид на юг, север и центр Петербурга. Максимальный обзор на город достигнут и за счет больших окон высотой от 2,5 до 5 метров. SHEPILEVSKIY (Шепилевский) предлагает новое видение жизни в премиальном объекте с особым акцентом на комфорт и технологичность жилой среды. 
 

В проекте Shepilevskiy более 100 передовых решений и девелоперских идей. Среди них  единая акустическая система в общественных пространствах, система ""умный дом"", усиленная звуко- и теплоизоляция, бесконтактный доступ в дом Face Key, считыватели номеров авто в двухуровневом подземном паркинге и многое другое. 


 184 квартиры;
 25 этажей;
 Лаундж-терраса под открытым небом на 24 этаже (72 метров!);
 400 м2 общественных пространств;
 Парадное лобби;
 Кинозал;
 Комната для спорта;
 Коворкинг для деловых переговоров;
 Детский клуб;
 2 800 м2 площадь авторского сквера;
 4 минуты от м. Московская;

 
 

ELEMENT DEVELOPMENT создает премиальные проекты в сфере недвижимости Санкт-Петербурга — с уникальными концепциями, продуманным наполнением и сервисом самого высокого уровня.",1661.0,6.0,True,3.0,56.65,23.5,2.0,False,False,True,False,4.0,True,True,False,False,1
2,7516034,306152,ЖК «Кронфорт.Центральный»,2,4,Комфорт,"Стоимость квартиры указана со скидкой 20%. Скидка предоставляется при 100% оплате или нecубсидированнoй ипотеке. Возможно повышение скидки до 23%, подробности уточняйте у менеджера по телефону. 

Прeдлaгaeтcя кваpтиpa площaдью 24.55 кв.м в корпусе 2 жилого комплекса ""Кpoнфорт. Центрaльный"" в Caнкт-Пeтербуpгe (Kpoнштадт). Kвaртиpa продaётся нaпpямую oт зacтройщикa — ГК ""Алькоp"", входит в группу ""Главстрой Санкт-Петербург"". Возможна покупка с использованием льготных и специальных ипотечных программ с государственной поддержкой.  

 ""Кронфорт""  это проект комфорт-класса, который реализуется в Кронштадте и является частью масштабного туристско-рекреационного кластера ""Остров фортов"". Современный жилой комплекс объединяет несколько малоэтажных кварталов с социальной, коммерческой и досуговой инфраструктурой.  

Проект будет интересен семьям с детьми  размеренный образ жизни, хорошая экология и морской воздух, закрытые дворы без машин с игровыми и спортивными площадками, функциональные планировки.  

Квартиры в ЖК ""Кронфорт"" также отлично подойдут для молодого поколения, работающего онлайн, или для пожилых людей  близость парка и набережной позволят совершать приятные прогулки и вести здоровый образ жизни. Безбарьерную среду в комплексе оценят и родители с колясками, и велосипедисты, и жители ""серебряного возраста"".  

Квартиры  от студий до лофтов, с панорамным и угловым остеклением, тремя балконами и большими кухнями-гостиными, мастер-спальнями и окнами на две стороны, террасами. Метраж варьируется от 24 до 106 кв. м. Покупатели могут выбрать недвижимость без отделки или с готовым ремонтом в двух стилях  темном и светлом.  

Транспортная доступность: 

Жилой квартал ""Кронфорт. Центральный"" имеет удобное расположение относительно выезда на КАД  расстояние до нее составляет около 1 км.  
 - 2 минуты пешком до автобусной остановки ""Лицей""  
 - 30 минут на автомобиле до ""Лахта-центра""  
 - 50 минут на автомобиле до аэропорта ""Пулково""  
 - 60 минут на автомобиле до ""Московского вокзала""  

В период навигации можно прокатиться до ""Эрмитажа"", Адмиралтейства и Сенатской площади на скоростных катамаранах. 

Инфраструктура: 

Напротив ЖК ""Кронфорт. Центральный"" открыт инженерный лицей. Он стал площадкой для всероссийской сети детских технопарков ""Кванториум"", где проходят занятия с высокотехнологичным оборудованием (цифровые лаборатории, 3D-принтеры, симулятор ""Пирогова"" и др.) для изучения передовых технологий. Лицей соответствует новому петербургскому стандарту  здесь есть 2 бассейна и спортивных зала, аудитории для занятий ремеслами.   

Также в ""Кронфорт. Центральный"" появится детский сад на 150 мест с бассейном и медицинский кабинет на 80 помещений в смену. 

Преимущества ЖК ""Кронфорт"":  

 
 - Малоэтажный жилой комплекс с авторской архитектурой, разработанной с участием компании Chapman Taylor и петербургского бюро ""Проектная культура"", 
 - Подземный паркинг и кладовые для удобства жильцов,  
 - Более 100 видов планировочных решений,  
 - Высота потолко",4987.0,,False,3.04,24.55,12.2,0.0,False,True,False,False,,True,True,False,True,0
3,23474000,426800,ЖК «Лермонтовский 54»,3,9,Бизнес,,201.0,4.0,True,3.0,55.0,18.6,2.0,False,False,True,False,2.0,True,True,True,False,3
4,31903000,610000,ЖК «Avant (Авант)»,3,9,Премиум,"В историческом центре с особой атмосферой Петроградской стороны представлена 2-х комнатная квартира на 3 этаже общей площадью 52.3 кв.м. В корпусе KLASSIK представлены уникальные квартиры для ценителей формата премиум. Пространство вокруг дома вариативно и открывает возможности для отдыха всей семьей на природе. В корпусе расположена зеленая гостиная - полуприватная зона на 2-4 человека с деревянными креслами и диваном, а также детская площадка, интегрированная в сосны. Мультиформатный AVANT соединил вайб Петроградской стороны, индустриальный колорит и уникальную историю локации, органическую архитектуру и множество форматов жилой, коммерческой, сервисной, развлекательной и социальной инфраструктуры, сократив высоту и объем застройки в пользу природных зон, променадов и частного парка. Элитный жилой комплекс располагается в окружении самых престижных заведений и ключевых транспортных артерий Петербурга. AVANT придется по душе тому, кто имеет внутреннюю силу и свободу от стереотипов. Главным общественным пространством и инфраструктурной артерией квартала станет пешеходный променад протяженностью 200 метров для отдыха в привычном для каждого формате. Здесь кафе, рестораны и бутики, фитнес-центр и детские площадки чередуются с уединенными зонами отдыха, окруженными зеленью. Уникальные форматы жилья созданы на основе конструктивных особенностей исторического здания фабрики. Особенности классического лофта задают вариативность форматов: - Индустриальный шик с толщиной стен до 1 метра; - Панорамные окна; - Многоуровневые пространства; - Воздушные антресольные этажи. Такого в Петербурге еще нет. В новом проекте ААG на Пионерской новые смыслы, новые возможности, смелые решения. AVANТ - вaша вcеленная Livе Wоrk Рlay Lеarn для жизни, отдыха и paбoты. - Семейная ипотека 4,3% на весь период кредитования - Траншевая ипотека с платежом 2013 рублей в месяц до ввода в эксплуатацию - Программы рассрочки 0% без удорожания стоимости квартиры - Эксклюзивная опция - отделка WHITE BOX.",512.0,4.0,False,3.6,52.3,21.0,2.0,False,False,True,False,,True,True,False,False,4
5,414645000,1650000,ЖК «Моисеенко 10»,9,9,Премиум,"Остров первых  новый премиальный квартал в центре Петербурга, на Матисовом острове. 
  
Всего в нескольких минутах находятся легендарная Новая Голландия, величественный Мариинский театр и вся культурная палитра Петербурга. 
  
Архитектура, разработанная Евгением Подгорновым и его студией INTERCOLUMNIUM, отражает характер города. Фасады облицованы кирпичом терракотового и серого оттенков. Все материалы отвечают высокому качеству строительства. 
  
Компания Fizika Development бережно восстановит исторический объект, воплощающий величие императорской России. Краснокирпичное производственное здание с водонапорной башней завода шотландского инженера Чарльза Берда станет лицом клубного квартала ""Остров первых"" и новой точкой притяжения для горожан. Приватная территория, сочетающая камерную атмосферу и комфорт, была создана ведущими урбанистами города. Проектом предусмотрен одноуровневый подземный паркинг под жилыми корпусами и дворовым пространством, а также гостевые парковочные места по периметру квартала. 
  
Особое внимание уделено безопасности: закрытые дворы, охраняемая территория, круглосуточное видеонаблюдение и контроль доступа 24/7. В премиальном квартале ""Остров первых"" представлены уникальные планировочные решения: от уютных студий до просторных трехкомнатных квартир с потолками до 5,1 метров.",25512.0,21.0,True,3.2,251.3,70.5,,False,False,True,False,,False,True,True,False,1
6,96700000,1000000,ЖК «Avant (Авант)»,6,8,Премиум,"В историческом центре с особой атмосферой Петроградской стороны представлена 4-х комнатная квартира на 6 этаже общей площадью 96.7 кв.м. В корпусе BALANCE представлены уникальные квартиры и апартаменты для ценителей камерности и равновесия. Придомовая территория дома решена как более приватное пространство с собственной прогулочной дорожкой. Между домом и ул. Пионерская представлена зеленая стена из девичьего винограда. Мультиформатный AVANТ соединил вайб Петроградской стороны, индустриальный колорит и уникальную историю локации, органическую архитектуру и множество форматов жилой, коммерческой, сервисной, развлекательной и социальной инфраструктуры, сократив высоту и объем застройки в пользу природных зон, променадов и частного парка. Элитный жилой комплекс располагается в окружении самых престижных заведений и ключевых транспортных артерий Петербурга. AVANТ придется по душе тому, кто имеет внутреннюю силу и свободу от стереотипов. Главным общественным пространством и инфраструктурной артерией квартала станет пешеходный променад протяженностью 200 метров для отдыха в привычном для каждого формате. Здесь кафе, рестораны и бутики, фитнес-центр и детские площадки чередуются с уединенными зонами отдыха, окруженными зеленью. Уникальные форматы жилья созданы на основе конструктивных особенностей исторического здания фабрики. Особенности классического лофта задают вариативность форматов: - Индустриальный шик с толщиной стен до 1 метра; - Высокие 5-метровые потолки; - Панорамные окна; - Многоуровневые пространства; - Воздушные антресольные этажи. Такого в Петербурге еще нет. В новом проекте ААG на Пионерской - новые смыслы, новые возможности, смелые решения. AVANТ - вaша вcеленная Livе Wоrk Рlay Lеarn для жизни, отдыха и paбoты. - Семейная ипотека 4,3% на весь период кредитования - Траншевая ипотека с платежом 2013 рублей в месяц до ввода в эксплуатацию - Программы рассрочки 0% без удорожания стоимости квартиры - Эксклюзивная опция - отделка WHITE BOX.",81.0,4.0,False,2.98,96.7,77.2,4.0,False,False,True,False,,True,True,False,False,1
7,16415945,381500,ЖК «Цивилизация на Неве»,15,18,Бизнес,"Продаётся 2-комнатная квартира в ЖК ""Цивилизация на Неве"" на 15 этаже. Общая площадь составляет 43.03 кв. м. Квартира с white box отделкой. Жилой комплекс ""Цивилизация на Неве"" располагается по адресу Санкт-Петербург, Невский.
                
""Цивилизация на Неве"" - видовые дома бизнес-класса, расположенные вдоль набережной Невы, всего в 7 км от исторического центра. Жилой комплекс идеально выражает особый дух, свойственный знаменитым просторным кварталам постройки сталинской эпохи в Москве и на Московском проспекте в Петербурге. 

Расположение:
• 15 мин на авто до Невского проспекта;
• 15 мин на авто до Московского вокзала;
• 5 мин на авто до станции метро ""Улица Дыбенко"";
• 14 мин (7 км) до КАД.

Уникальный дизайн входных зон, закрытая территория, видеонаблюдение и охрана, подземный паркинг с лифтом и другие особенности проекта отвечают заявленному классу. В каждом дворе предусмотрено озеленение по индивидуальному ландшафтному проекту с благородными растениями и кустарниками. 

Преимущества:
• Закрытая территория с видеонаблюдением;
• Подземный паркинг с лифтом;
• Детская площадка на приватной безопасной территории;
• Несколько детских садов и школ;
• Инфраструктура шаговой доступности на первых этажах корпусов.

Успейте приобрести квартиру на выгодных условиях! 
Чтобы узнать подробности, обращайтесь за консультацией по телефону.",1030.0,6.0,True,2.82,43.03,20.3,2.0,False,False,True,True,2.0,True,True,True,True,1
8,15065000,430060,ЖК «17 линия»,4,10,,"Локация, выбранная для строительства ЖК ""17 линия"", по праву считается лучшей на Васильевском острове. Это не просто адрес, а стиль жизни, в окружении культурного
наследия и ритме современного мегаполиса.

Жилой комплекс находится в пешей доступности до двух станций метро и набережной Невы, а также в десяти минутах езды до исторического центра и ЗСД.

Пешком:
15 минут Метро ""Василеостровская""
17 минут Метро ""Горный институт""
10 минут Малая Нева
5 минут Артмуза

НА АВТО
10 минут Дворцовая площадь
8 минут Выезд на ЗСД",959.0,5.0,False,2.73,35.03,15.3,1.0,False,False,True,False,18.0,False,False,False,False,4
9,28906481,537795,ЖК «Коллекционный Дом 1919»,4,11,Премиум,,495.0,6.0,True,3.0,53.75,24.0,2.0,True,False,True,False,1.0,True,True,True,False,4
