review,review_cleaned,cluster
"Купил квартиру и обратил внимание на отзывы - Застройщик пик поменял проектную декларацию и теперь удешевляет фасады. Прошу обратить на это внимание тех, кто планирует здесь купить квартиру именно для себя !! Первый корпус сдан красивым ! второй уже с решетками с кладбища на чем там еще сэкономят можно только догадываться Пипл хавает и ладно - думает застройщик Причем дду составлено в интересах застройщика и пик может в целом делать что хочет ! Поэтому и комиссия агентам на этот жк сейчас более 5% ",купить обратить внимание отзыв поменять проектный декларация удешевлять фасад просить обратить внимание планировать купить именно первый корпус сдать красивый второй решётка кладбище сэкономить догадываться пиплый хаваета ладный думать причём дду составить интерес делать хотеть поэтому комиссия агент,5
Дома очень красиво получилось и по качеству закрыты двор подземный паркинг удобства не далеко от метро и ещё рядом вокзал Балтийский ,красиво получиться качество закрытый двор подземный паркинг удобство далеко метро вокзал балтийский,5
"Отличный, красивый ЖК с классной отделкой и прочным и безопасным двором 👍🏻",красивый классный отделка прочный безопасный двор,5
"Хороший ЖК. Хорошая отделка МОПов. Закрытый двор, паркинг, есть внутридворовая парковка для инвалидов. Панорамные окна, внутрипольные конвектора, предчистовая отделка, коллектора на площадке, разводка воды сшитым полиэтиленом. Удобное расположение.",отделка моп закрытый двор паркинг внутридворовый парковка инвалид панорамный внутрипольный конвектор предчистовой отделка коллектор площадка разводка вода сшить полиэтилен удобный расположение,5
"Покупка квартиры в Лермонтовском 54 была удачной инвестицией. В отличие от падающих ставок по депозитам, я смог выгодно перепродать студию в этом ЖК. Выбор был сделан осознанно: перспективный район, близость к метро и скорое заселение.",покупка лермонтовский удачный инвестиция отличие падать ставка депозит смочь выгодно перепродать студия выбор сделать осознанно перспективный близость метро скорый заселение,5
"Я сознательно выбрал квартиру без отделки, так как хочу делать ремонт самостоятельно и контролировать все процессы от начала до конца. Недавно принял квартиру и уже активно занимаюсь отделкой. Планирую завершить все работы и переехать к октябрю.",сознательно выбрать отделка хотеть делать ремонт самостоятельно контролировать процесс начало конец недавно принять активно заниматься отделка планировать завершить работа переехать октябрь,5
"Дома смотрятся очень даже достойно. И не скажешь, что это комфорт. Серия плюс у Пика отличается, даже внешне. Да и по планировкам тоже - в Лермонтовском 54 они продуманные и практичные, мы когда себе тут квартиру выбирали, все варианты по двухспальным квартирам отсмотрели - и ни про одну не могу сказать, что не понравилась. ",смотреться достойно сказать комфорт серия плюс отличаться внешне планировка лермонтовский продумать практичный выбирать вариант двухспальная отсмотреть мочь сказать понравиться,5
"Застройщик пик поменял проектную декларацию и теперь удешевляет фасады. Прошу обратить на это внимание тех, кто планирует здесь купить квартиру. Причем дду грамотно составлено и пик может в целом делать что хочет используя «дырки» в законах. Пока пишем во все инстанции, чтобы поправить ситуацию, но все четно:(( очень жаль ",поменять проектный декларация удешевлять фасад просить обратить внимание планировать купить причём дду грамотно составить делать хотеть использовать дырка закон писать инстанция поправить ситуация чётный жаль,5
"Приобрели квартиру в этом ЖК в прошлом году, выбирая, в том числе и внешний облик здания. Мало того, что срок сдачи сдвинули на квартал, так еще и в мае этого года застройщик поменял наружное триплекс стекло на решетки, которые выглядят как оградки на кладбище. Тем самым удешевил проект и внешний вид комплекса. Собственники узнали об этом по факту установки решеток. На многочисленные жалобы собственников присылает шаблонные отписки. ",приобрести прошлый год выбирать число внешний облик здание мало срок сдача сдвинуть квартал май год поменять наружное триплекс стекло решётка выглядеть оградка кладбище самый удешевить внешний собственник узнать факт установка решётка многочисленный жалоба собственник присылать шаблонный отписка,5
"Покупал квартиру в ЖК «Лермонтовский 54» от ПИК в 2024 году. На рендерах и презентациях показывались панорамные окна со стеклянными ограждениями — выглядело современно и стильно. Сейчас, в 2025 году, в корпусах 2.1 и 2.2 вместо стеклянных ограждений начали устанавливать металлические решётки. В первом корпусе, который уже сдан, ограждения остались стеклянные, то есть проект внутри одного ЖК реализован по-разному. Хотелось бы, чтобы застройщик придерживался единых решений и выполнял обещанное, ведь внешний вид дома — это тоже Читать далее",покупать лермонтовский год рендёр презентация показываться панорамный стеклянный ограждение выглядеть современно стильно год корпус вместо стеклянный ограждение начать устанавливать металлический решётка первый корпус сдать ограждение остаться стеклянный внутри реализовать поразный хотеться придерживаться единый решение выполнять обещать внешний,5
