title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,hc_decoration_options,char_flat_балкон/лоджия,char_building_парковка
"Продается 1-комн. квартира, 39,52 м²",ЖК «Цивилизация на Неве»,"39,52 м²",14 м²,"15,7 м²",3,18,2027,Не сдан,Предчистовая,Новостройка,"39,52 м²",14 м²,"15,7 м²","2,82 м","1 совмещенный, 1 раздельный",Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Невский,,3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"19 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 69,9 м²",ЖК «Сампсониевский 32»,"69,9 м²",23 м²,"22,1 м²",5,10,2026,Не сдан,Предчистовая,Новостройка,"69,9 м²",23 м²,"22,1 м²","2,7 м",2 совмещенных,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Выборгский,,3.0,"Площадь Ленина, Выборгская, Петроградская","22 мин., 11 мин., 5 мин.",LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,Архитектура,,False,"163 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 34,9 м²",ЖК «ЛСР. Большая Охта»,"34,9 м²","10,7 м²","16,7 м²",3,10,2027,Не сдан,Предчистовая,Новостройка,"34,9 м²","10,7 м²","16,7 м²","2,72 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,8к2,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"92 просмотра, нет за сегодня",,,
"Продается 2-комн. квартира, 57,52 м²",ЖК «НОВАЯ ЗЕМЛЯ»,"57,52 м²","26,6 м²","19,8 м²",10,16,2028,Не сдан,Предчистовая,Новостройка,"57,52 м²","26,6 м²","19,8 м²","2,85 м",2 совмещенных,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Василеостровский,,3.0,"Горный институт, Приморская, Василеостровская","11 мин., 13 мин., 15 мин.",LEGENDA Intelligent Development,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Парковка, Архитектура, Входная группа",,False,"18 просмотров, нет за сегодня","Предчистовая, Без отделки",,
"Продается 2-комн. квартира, 77,3 м²",ЖК «Прагма city»,"77,3 м²",33 м²,"14,6 м²",22,23,2022,Сдан,Предчистовая,Новостройка,"77,3 м²",33 м²,"14,6 м²","2,73 м",1 раздельный,,Предчистовая,"1 пассажирский, 2 грузовых",Монолитный,,р-н Выборгский,дор. Ольгинская,3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"175 просмотров, нет за сегодня","Чистовая, Предчистовая, Без отделки",1 балкон,Наземная
"Продается 3-комн. квартира, 81,62 м²",ЖК «Остров первых»,"81,62 м²","41,9 м²",,6,10,2029,Не сдан,Черновая,Новостройка,"81,62 м²","41,9 м²",,"2,85 м",,,Черновая,17 пассажирских,Монолитно-кирпичный,Есть,р-н Адмиралтейский,,3.0,"Садовая, Балтийская, Сенная площадь","6 мин., 6 мин., 6 мин.",ГК Fizika Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"21 просмотр, нет за сегодня","Без отделки, Черновая",,Подземная
"Продается 3-комн. квартира, 78,85 м²",ЖК «Остров первых»,"78,85 м²","43,8 м²",,7,10,2028,Не сдан,Без отделки,Новостройка,"78,85 м²","43,8 м²",,"2,85 м",,,Без отделки,20 пассажирских,Монолитно-кирпичный,Есть,р-н Адмиралтейский,,3.0,"Нарвская, Садовая, Балтийская","6 мин., 7 мин., 7 мин.",ГК Fizika Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"90 просмотров, нет за сегодня","Без отделки, Черновая",,Подземная
"Продается студия, 22,2 м²",ЖК «ЛСР. Большая Охта»,"22,2 м²","11,1 м²",,5,12,2027,Не сдан,Предчистовая,Новостройка,"22,2 м²","11,1 м²",,"2,72 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,8к2,3.0,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"23 просмотра, нет за сегодня",,,
"Продается студия, 37,16 м²",ЖК «Башни Элемент»,"37,16 м²","25,3 м²",,10,18,2028,Не сдан,Предчистовая,Новостройка,"37,16 м²","25,3 м²",,"3,01 м",,,Предчистовая,"10 пассажирских, 10 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,True,"31 просмотр, нет за сегодня",,,
"Продается 1-комн. квартира, 35,5 м²",ЖК «Дыбенко Парк»,"35,5 м²","11,4 м²","15,9 м²",13,22,2027,Не сдан,Чистовая,Новостройка,"35,5 м²","11,4 м²","15,9 м²","2,75 м",1 совмещенный,На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Невский,38Б,3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","16 мин., 7 мин., 9 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Монолитно-кирпичный,Отдельная многоуровневая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"52 просмотра, нет за сегодня",,1 балкон,Многоуровневая
"Продается 4-комн. квартира, 110,4 м²",ЖК «Прагма city»,"110,4 м²","67,3 м²",14 м²,10,23,2022,Сдан,Без отделки,Новостройка,"110,4 м²","67,3 м²",14 м²,"2,73 м",1 раздельный,На улицу и двор,Без отделки,"1 пассажирский, 2 грузовых",Монолитный,,р-н Выборгский,дор. Ольгинская,3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"222 просмотра, 1 за сегодня","Чистовая, Предчистовая, Без отделки",1 балкон,Наземная
"Продается студия, 26,19 м²",ЖК «17/33 Петровский остров»,"26,19 м²","15,6 м²",,6,8,2026,Не сдан,Без отделки,Новостройка,"26,19 м²","15,6 м²",,3 м,,,Без отделки,"20 пассажирских, 20 грузовых",Монолитный,,р-н Петроградский,17литЗ,3.0,"Спортивная, Чкаловская, Василеостровская","19 мин., 22 мин., 4 мин.",Element,Премиум,Монолитный,Гостевая,Апарт-комплекс,"Парковка, Парки, Архитектура, Входная группа",,True,"8 просмотров, 1 за сегодня","Чистовая, Черновая, Без отделки",,
"Продается 2-комн. квартира, 68,26 м²",ЖК «Остров первых»,"68,26 м²","30,7 м²",,8,9,2029,Не сдан,Черновая,Новостройка,"68,26 м²","30,7 м²",,"2,85 м",,,Черновая,17 пассажирских,Монолитно-кирпичный,Есть,р-н Адмиралтейский,,3.0,"Садовая, Балтийская, Сенная площадь","6 мин., 6 мин., 6 мин.",ГК Fizika Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,True,"22 просмотра, нет за сегодня","Без отделки, Черновая",,Подземная
"Продается 3-комн. квартира, 74,74 м²",ЖК «Башни Элемент»,"74,74 м²","31,1 м²",,9,18,2028,Не сдан,Предчистовая,Новостройка,"74,74 м²","31,1 м²",,"3,01 м",,,Предчистовая,"10 пассажирских, 10 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Приморская, Горный институт, Василеостровская","9 мин., 11 мин., 13 мин.",Element,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Внутренний двор, Архитектура, Входная группа",,True,"52 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 41,2 м²",ЖК «Антверпен»,"41,2 м²",,,4,13,2029,Не сдан,Предчистовая,Новостройка,"41,2 м²",,,"2,7 м",,,Предчистовая,"2 пассажирских, 2 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,,,,,,False,"36 просмотров, 1 за сегодня",,,
"Продается 4-комн. квартира, 128,1 м²",ЖК «Прагма city»,"128,1 м²","74,3 м²","19,8 м²",4,23,2022,Сдан,Без отделки,Новостройка,"128,1 м²","74,3 м²","19,8 м²","2,73 м",1 раздельный,На улицу и двор,Без отделки,"1 пассажирский, 2 грузовых",Монолитный,,р-н Выборгский,дор. Ольгинская,3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"175 просмотров, нет за сегодня","Чистовая, Предчистовая, Без отделки",1 балкон,Наземная
"Продается 2-комн. квартира, 58,3 м²",ЖК «ЛСР. Большая Охта»,"58,3 м²","26,2 м²","18,3 м²",5,12,2026,Не сдан,Предчистовая,Новостройка,"58,3 м²","26,2 м²","18,3 м²","2,95 м",2 совмещенных,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,3В,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"45 просмотров, нет за сегодня",,,
"Продается 3-комн. квартира, 83,79 м²",ЖК «17 линия»,"83,79 м²","39,9 м²","20,5 м²",9,10,2028,Не сдан,Предчистовая,Новостройка,"83,79 м²","39,9 м²","20,5 м²","2,73 м",2 совмещенных,,Предчистовая,"7 пассажирских, 11 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",,,,,,,,False,"26 просмотров, 2 за сегодня","Чистовая, Предчистовая",1 лоджия,
