title,residential_complex,char_total_area,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_высота_потолков,char_flat_вид_из_окон,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_living_area,char_площадь кухни,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_санузел,char_flat_балкон/лоджия,char_flat_отделка,char_building_количество_лифтов,char_building_парковка,hc_decoration_options,char_building_пандус
"Продается студия, 24,58 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"24,58 м²",4,17,2027,Не сдан,Без отделки,Новостройка,"24,58 м²","2,85 м",Во двор,Монолитно-кирпичный,р-н Московский,13ВА,3,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 1 за сегодня",,,,,,,,,,,
"Продается студия, 30 м²",ЖК «Тайм Сквер»,30 м²,6,13,2024,Сдан,,Новостройка,30 м²,"2,74 м",,Монолитно-кирпичный,р-н Приморский,99,3,"Старая Деревня, Комендантский проспект, Беговая","11 мин., 12 мин., 14 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"9 просмотров, нет за сегодня",,,,,,,,,,,
"Продается 1-комн. квартира, 41,6 м²",ЖК «Образцовый квартал 16»,"41,6 м²",1,4,2026,Не сдан,Предчистовая,Новостройка,"41,6 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,3,3,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",,,,,,,,True,"4 просмотра, 1 за сегодня","17,5 м²","11,8 м²","17,5 м²","11,8 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 41,72 м²",ЖК «Образцовый квартал 6.4»,"41,72 м²",1,4,2028,Не сдан,Предчистовая,Новостройка,"41,72 м²","2,87 м",,Монолитно-кирпичный,р-н Пушкинский,,3,"Купчино, Звездная, Московская","20 мин., 21 мин., 22 мин.",,,,,,,,True,"3 просмотра, нет за сегодня","16,6 м²","12,1 м²","16,6 м²","12,1 м²",1 совмещенный,1 балкон,Предчистовая,1 пассажирский,Наземная,,
"Продается 1-комн. квартира, 33,57 м²",ЖК «ЦДС Dreamline (Дримлайн)»,"33,57 м²",1,17,2027,Не сдан,,Новостройка,"33,57 м²","2,75 м",,Монолитный,р-н Приморский,24,3,"Пионерская, Старая Деревня, Комендантский проспект","10 мин., 10 мин., 11 мин.",ЦДС,Комфорт,"Монолитный, кирпичный",Отдельная многоуровневая,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"348 просмотров, 1 за сегодня",,,,,,,,"8 пассажирских, 2 грузовых",,,
"Продается 1-комн. квартира, 39,74 м²",ЖК «Юнтолово»,"39,74 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"39,74 м²",,На улицу и двор,Монолитный,р-н Приморский,1к3,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"1802 просмотра, 1 за сегодня","11,2 м²","19,3 м²","11,2 м²","19,3 м²",,,Чистовая,,,"Чистовая, Предчистовая",
"Продается 1-комн. квартира, 35,52 м²",ЖК «Любоград»,"35,52 м²",1,4,2025,Сдан,Чистовая,Новостройка,"35,52 м²","2,77 м",,Монолитный,р-н Петродворцовый,26к6,3,"Ленинский проспект, Проспект Ветеранов, Автово","17 мин., 18 мин., 19 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"70 просмотров, 1 за сегодня","11,4 м²","15,7 м²","11,4 м²","15,7 м²",,,Чистовая,8 пассажирских,,,
"Продается 1-комн. квартира, 34,89 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"34,89 м²",1,5,2025,Не сдан,Чистовая,Новостройка,"34,89 м²","2,75 м",Во двор,Монолитный,р-н Московский,5к2,3,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, 1 за сегодня","16,4 м²","9,7 м²","16,4 м²","9,7 м²",1 совмещенный,,Чистовая,1 грузовой,,,
"Продается 1-комн. квартира, 39,02 м²",ЖК «Юнтолово»,"39,02 м²",1,23,2026,Не сдан,Чистовая,Новостройка,"39,02 м²",,На улицу и двор,Монолитный,р-н Приморский,1к4,3,"Беговая, Старая Деревня, Черная речка","14 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"6418 просмотров, нет за сегодня","11,2 м²","18,9 м²","11,2 м²","18,9 м²",,,Чистовая,1 грузовой,,"Чистовая, Предчистовая",Есть
"Продается 1-комн. квартира, 38,9 м²",ЖК «Univer City. Город возможностей»,"38,9 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"38,9 м²","2,77 м",,Монолитный,р-н Пушкинский,,3,"Купчино, Шушары, Дунайская","27 мин., 22 мин., 27 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"21 просмотр, 1 за сегодня",12 м²,17 м²,12 м²,17 м²,,1 лоджия,Чистовая,13 пассажирских,,"Чистовая с мебелью, Чистовая",Есть
