title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_балкон/лоджия,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_building_парковка,char_building_пандус,hc_decoration_options
"Продается 2-комн. квартира, 46,78 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"46,78 м²",25 м²,"10,4 м²",5,5,2025,Не сдан,Чистовая,Новостройка,"46,78 м²",25 м²,"10,4 м²","2,75 м",1 совмещенный,1 балкон,На улицу и двор,Чистовая,1 грузовой,Монолитный,р-н Московский,5к2,3.0,"Звездная, Московская, Проспект Ветеранов","18 мин., 19 мин., 23 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"30 просмотров, 10 за сегодня",,,
"Продается 2-комн. квартира, 54,8 м²",ЖК «Пейзажный квартал»,"54,8 м²","24,1 м²",17 м²,20,25,2026,Не сдан,Чистовая,Новостройка,"54,8 м²","24,1 м²",17 м²,"2,55 м",1 раздельный,"1 лоджия, 1 балкон",На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Панельный,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","15 мин., 10 мин., 12 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура",,True,"172 просмотра, нет за сегодня",Наземная,,
"Продается 1-комн. квартира, 36,5 м²",ЖК «Октябрьская набережная»,"36,5 м²","13,2 м²","16,4 м²",19,25,2026,Не сдан,Чистовая,Новостройка,"36,5 м²","13,2 м²","16,4 м²","2,55 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Невский,66к4,3.0,"Ломоносовская, Пролетарская, Улица Дыбенко","6 мин., 7 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"5 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 36,4 м²",ЖК «Октябрьская набережная»,"36,4 м²","11,3 м²","18,3 м²",7,25,2026,Не сдан,Чистовая,Новостройка,"36,4 м²","11,3 м²","18,3 м²","2,55 м",1 совмещенный,,Во двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,р-н Невский,66к4,3.0,"Ломоносовская, Пролетарская, Улица Дыбенко","6 мин., 7 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"193 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 39,4 м²",ЖК «Пулково Лейк»,"39,4 м²","11,1 м²","11,2 м²",1,4,2026,Не сдан,Чистовая,Новостройка,"39,4 м²","11,1 м²","11,2 м²","2,6 м","1 совмещенный, 1 раздельный",,Во двор,Чистовая,"1 пассажирский, 8 грузовых",Панельный,р-н Пушкинский,,3.0,"Московская, Купчино, Звездная","22 мин., 20 мин., 21 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"67 просмотров, нет за сегодня",Подземная,,
"Продается 1-комн. квартира, 36,2 м²",ЖК «Монография»,"36,2 м²",,,2,12,2025,Сдан,,Новостройка,"36,2 м²",,,"2,72 м",,,,,30 пассажирских,Монолитный,р-н Пушкинский,14к1,3.0,"Звездная, Купчино, Шушары","10 мин., 13 мин., 13 мин.",Группа Эталон,Комфорт,Монолитный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"6 просмотров, нет за сегодня",,Есть,
"Продается 1-комн. квартира, 46 м²",ЖК «Юнтолово»,46 м²,"15,2 м²","19,7 м²",4,23,2025,Сдан,Чистовая,Новостройка,46 м²,"15,2 м²","19,7 м²","2,76 м",,1 лоджия,На улицу и двор,Чистовая,"4 пассажирских, 6 грузовых",Монолитный,р-н Приморский,5к2,3.0,"Беговая, Старая Деревня, Черная речка","13 мин., 18 мин., 21 мин.",Главстрой Санкт-Петербург,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,Отделка,,True,"18 просмотров, нет за сегодня",,Есть,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 31,49 м²",ЖК «Кинопарк»,"31,49 м²","11,9 м²",10 м²,2,9,2026,Не сдан,Без отделки,Новостройка,"31,49 м²","11,9 м²",10 м²,3 м,1 совмещенный,,Во двор,,10 грузовых,Монолитный,р-н Красносельский,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","9 мин., 10 мин., 11 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,"Монолитно-кирпичный, монолитный","Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"68 просмотров, 1 за сегодня",,Есть,
"Продается 1-комн. квартира, 30,15 м²",ЖК «Бионика Заповедная»,"30,15 м²","10,1 м²","13,1 м²",11,12,2026,Не сдан,Чистовая,Новостройка,"30,15 м²","10,1 м²","13,1 м²","2,77 м",,1 лоджия,,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Приморский,,3.0,"Проспект Просвещения, Озерки, Удельная","12 мин., 13 мин., 14 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"42 просмотра, нет за сегодня",,,
"Продается студия, 29,2 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"29,2 м²",,,3,17,2027,Не сдан,Без отделки,Новостройка,"29,2 м²",,,"2,85 м",,,На улицу,,,Монолитно-кирпичный,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"1 просмотр, 1 за сегодня",,,
"Продается студия, 29,61 м²",ЖК «ORO by Akvilon (ОРО от Аквилон)»,"29,61 м²",,,2,17,2027,Не сдан,Без отделки,Новостройка,"29,61 м²",,,"2,85 м",,,На улицу,,,Монолитно-кирпичный,р-н Московский,13ВА,3.0,"Звездная, Купчино, Московская","18 мин., 6 мин., 8 мин.",Группа Аквилон,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 41,8 м²",ЖК «Шекспир»,"41,8 м²",,,9,25,2021,Сдан,,Новостройка,"41,8 м²",,,"2,65 м",,,,,,Монолитно-кирпичный,р-н Выборгский,18,3.0,"Проспект Просвещения, Гражданский проспект, Озерки","5 мин., 7 мин., 8 мин.",Л1 строительная компания №1,Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Внутренний двор, Архитектура",,False,"152 просмотра, 9 за сегодня",,,
"Продается 1-комн. квартира, 27,29 м²",ЖК «НИГИЛИСТ»,"27,29 м²","7,7 м²",,8,13,2028,Не сдан,Предчистовая,Новостройка,"27,29 м²","7,7 м²",,"2,74 м",,,,Предчистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","12 мин., 20 мин., 6 мин.",ГК «Bau City Development»,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"137 просмотров, 9 за сегодня",,,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 34,8 м²",ЖК «Бионика Заповедная»,"34,8 м²","10,4 м²","16,7 м²",1,12,2026,Не сдан,Чистовая,Новостройка,"34,8 м²","10,4 м²","16,7 м²","2,77 м",,1 лоджия,,Чистовая,"1 пассажирский, 1 грузовой",Монолитно-кирпичный,р-н Приморский,20к2,3.0,"Проспект Просвещения, Парнас, Озерки","12 мин., 13 мин., 13 мин.",Setl Group,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"19 просмотров, 1 за сегодня",,,
