title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 1-комн. квартира, 44,67 м²",ЖК «Цивилизация на Неве»,"44,67 м²","15,2 м²","18,8 м²",2,18,2027,Не сдан,Предчистовая,Новостройка,"44,67 м²","15,2 м²","18,8 м²","2,82 м",1 совмещенный,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Невский,,3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","7 мин., 7 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"90 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 51,5 м²",ЖК «Клюква.Парк»,"51,5 м²",,,2,12,2028,Не сдан,Без отделки,Новостройка,"51,5 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"1 просмотр, нет за сегодня",,,
"Продается 2-комн. квартира, 51,47 м²",ЖК «Любоград»,"51,47 м²",24 м²,"14,2 м²",2,4,2027,Не сдан,Чистовая,Новостройка,"51,47 м²",24 м²,"14,2 м²","2,77 м",,,Чистовая,7 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"21 просмотр, нет за сегодня",,,
"Продается 2-комн. квартира, 53,04 м²",ЖК «Любоград»,"53,04 м²","24,2 м²","13,7 м²",1,4,2027,Не сдан,Чистовая,Новостройка,"53,04 м²","24,2 м²","13,7 м²","2,77 м",,,Чистовая,6 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 18 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"335 просмотров, 4 за сегодня",,,
"Продается 2-комн. квартира, 54,09 м²",ЖК «Любоград»,"54,09 м²","24,3 м²",14 м²,1,4,2027,Не сдан,Чистовая,Новостройка,"54,09 м²","24,3 м²",14 м²,"2,77 м",,,Чистовая,7 пассажирских,Монолитно-кирпичный,,р-н Петродворцовый,,3.0,"Юго-Западная, Проспект Ветеранов, Ленинский проспект","15 мин., 17 мин., 17 мин.",КВС,Комфорт,"Монолитно-кирпичный, монолитный",Гостевая,Жилой комплекс,"Отделка, Внутренний двор",,True,"81 просмотр, 1 за сегодня",,,
"Продается 1-комн. квартира, 49,2 м²",ЖК «Окла (Okla)»,"49,2 м²",,,3,25,2026,Не сдан,,Новостройка,"49,2 м²",,,,,,,,Монолитный,,р-н Приморский,11к1,3.0,"Проспект Просвещения, Озерки, Удельная","11 мин., 12 мин., 13 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"2 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 45,8 м²",ЖК «Окла (Okla)»,"45,8 м²",,,4,25,2026,Не сдан,,Новостройка,"45,8 м²",,,,,,,,Монолитный,,р-н Приморский,11к1,3.0,"Проспект Просвещения, Озерки, Удельная","11 мин., 12 мин., 13 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"нет просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 56,92 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"56,92 м²","26,1 м²","16,6 м²",2,5,2027,Не сдан,Чистовая,Новостройка,"56,92 м²","26,1 м²","16,6 м²",,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"130 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 42,8 м²",ЖК «Антверпен»,"42,8 м²",,,3,13,2029,Не сдан,Предчистовая,Новостройка,"42,8 м²",,,"2,7 м",,,Предчистовая,"2 пассажирских, 2 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,,,,,,False,"116 просмотров, 5 за сегодня",,,
"Продается 1-комн. квартира, 54,9 м²",ЖК «Тайм Сквер»,"54,9 м²",,,2,13,2025,Сдан,,Новостройка,"54,9 м²",,,"2,74 м",,,,,Монолитно-кирпичный,,р-н Приморский,99,3.0,"Комендантский проспект, Старая Деревня, Беговая","11 мин., 14 мин., 14 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"20 просмотров, 1 за сегодня",,,
