title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_вид_из_окон,char_flat_отделка,char_building_тип_дома,char_building_парковка,district,building,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_decoration_options,hc_advantages,developer_description,online_booking,views,char_building_количество_лифтов,metro_count,metro_names,metro_times,char_flat_санузел,char_flat_балкон/лоджия,char_building_пандус
"Продается 2-комн. квартира, 46,76 м²",ЖК «Кронфорт.Центральный»,"46,76 м²","21,2 м²","11,8 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"46,76 м²","21,2 м²","11,8 м²","3,04 м",На улицу и двор,Чистовая,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"5683 просмотра, 35 за сегодня",,,,,,,
"Продается 2-комн. квартира, 56,65 м²",ЖК «Шепилевский (Shepilevskiy)»,"56,65 м²","23,5 м²",,10,24,2025,Не сдан,Предчистовая,Новостройка,"56,65 м²","23,5 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1661 просмотр, 51 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
"Продается студия, 24,55 м²",ЖК «Кронфорт.Центральный»,"24,55 м²","12,2 м²",,2,4,2026,Не сдан,Чистовая,Новостройка,"24,55 м²","12,2 м²",,"3,04 м",На улицу и двор,Чистовая,Монолитный,Подземная,р-н Кронштадтский,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Чистовая, Предчистовая, Без отделки","Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"4987 просмотров, 13 за сегодня",,,,,,,
"Продается 2-комн. квартира, 55 м²",ЖК «Лермонтовский 54»,55 м²,"18,6 м²","16,4 м²",3,9,2025,Не сдан,Без отделки,Новостройка,55 м²,"18,6 м²","16,4 м²",3 м,На улицу,Без отделки,Монолитный,Открытая,р-н Адмиралтейский,169,ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Предчистовая, Без отделки","Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"201 просмотр, 14 за сегодня","1 пассажирский, 1 грузовой",3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",2 совмещенных,1 балкон,
"Продается 2-комн. квартира, 52,3 м²",ЖК «Avant (Авант)»,"52,3 м²",21 м²,"16,9 м²",3,9,2027,Не сдан,Черновая,Новостройка,"52,3 м²",21 м²,"16,9 м²","3,6 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"512 просмотров, 24 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается многокомнатная квартира, 251,3 м²",ЖК «Моисеенко 10»,"251,3 м²","70,5 м²",,9,9,2028,Не сдан,Без отделки,Новостройка,"251,3 м²","70,5 м²",,"3,2 м",,Без отделки,Монолитно-кирпичный,Подземная,р-н Центральный,,ГК Fizika Development,Премиум,Монолитно-кирпичный,Подземная,Жилой комплекс,"Под ключ, Чистовая, Предчистовая, Без отделки, Черновая","Отделка, Парковка, Архитектура, Входная группа, Лифт",,True,"25512 просмотров, 40 за сегодня",,3.0,"Площадь Восстания, Чернышевская, Маяковская","21 мин., 22 мин., 24 мин.",,,Есть
"Продается 4-комн. квартира, 96,7 м²",ЖК «Avant (Авант)»,"96,7 м²","77,2 м²","14,5 м²",6,8,2026,Не сдан,Черновая,Новостройка,"96,7 м²","77,2 м²","14,5 м²","2,98 м",,Черновая,Монолитный,Подземная,р-н Петроградский,53,Холдинг AAG,Премиум,Монолитный,"Подземная, гостевая",Жилой комплекс,Черновая,"Внутренний двор, Архитектура, Входная группа",,False,"81 просмотр, 9 за сегодня",,3.0,"Чкаловская, Спортивная, Крестовский остров","8 мин., 17 мин., 4 мин.",,,
"Продается 2-комн. квартира, 43,03 м²",ЖК «Цивилизация на Неве»,"43,03 м²","20,3 м²","12,9 м²",15,18,2027,Не сдан,Предчистовая,Новостройка,"43,03 м²","20,3 м²","12,9 м²","2,82 м",Во двор,Предчистовая,Монолитный,,р-н Невский,,ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,True,"1030 просмотров, 13 за сегодня","1 пассажирский, 1 грузовой",3.0,"Улица Дыбенко, Ломоносовская, Проспект Большевиков","6 мин., 6 мин., 8 мин.",1 раздельный,1 лоджия,Есть
"Продается 1-комн. квартира, 35,03 м²",ЖК «17 линия»,"35,03 м²","15,3 м²","11,3 м²",4,10,2028,Не сдан,Предчистовая,Новостройка,"35,03 м²","15,3 м²","11,3 м²","2,73 м",,Предчистовая,Монолитный,,р-н Василеостровский,,,,,,,"Чистовая, Предчистовая",,,False,"959 просмотров, 9 за сегодня","7 пассажирских, 11 грузовых",3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",1 совмещенный,1 балкон,
"Продается 2-комн. квартира, 53,75 м²",ЖК «Коллекционный Дом 1919»,"53,75 м²",24 м²,,4,11,2025,Сдан,Предчистовая,Новостройка,"53,75 м²",24 м²,,3 м,,Предчистовая,Монолитный,,р-н Московский,3,Element,Премиум,Монолитный,Подземная,Жилой комплекс,,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"495 просмотров, 9 за сегодня",1 грузовой,3.0,"Московские ворота, Электросила, Фрунзенская","6 мин., 21 мин., 23 мин.",,,
"Продается 1-комн. квартира, 34,31 м²",ЖК «Шепилевский (Shepilevskiy)»,"34,31 м²","9,9 м²",,12,24,2025,Не сдан,Предчистовая,Новостройка,"34,31 м²","9,9 м²",,3 м,,Предчистовая,Монолитный,,р-н Московский,39,Element,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,,"Внутренний двор, Архитектура, Входная группа, Лифт",,True,"233 просмотра, 12 за сегодня","2 пассажирских, 2 грузовых",3.0,"Московская, Звездная, Ленинский проспект","9 мин., 25 мин., 6 мин.",,,
